barcode,barcode_out,item_name,brand,category,current_quantity,minimum_stock,storage_location,expiration_date,notes
S19-S2-003,S19-S2-003-OUT,beans canned,,Section 19,0,0,"Section 19, Shelf 2",,
S09-S3-004,S09-S3-004-OUT,black beans (dry),,Section 9,0,0,"Section 9, Shelf 3",,
S12-S1-001,S12-S1-001-OUT,box cereal,,Section 12,0,0,"Section 12, Shelf 1",,
S05-S1-002,S05-S1-002-OUT,can meat,,Section 5,0,0,"Section 5, Shelf 1",,
S03-S1-001,S03-S1-001-OUT,carrots,,Section 3,0,0,"Section 3, Shelf 1",,
S07-S2-001,S07-S2-001-OUT,chicken helper,,Section 7,0,0,"Section 7, Shelf 2",,
S07-S3-001,S07-S3-001-OUT,chicken ramen noodles,,Section 7,0,0,"Section 7, Shelf 3",,
S03-S2-002,S03-S2-002-OUT,chickpeas,,Section 3,0,0,"Section 3, Shelf 2",,
S04-S1-002,S04-S1-002-OUT,chili,,Section 4,0,0,"Section 4, Shelf 1",,
S06-S3-001,S06-S3-001-OUT,condiments,,Section 6,0,0,"Section 6, Shelf 3",,
S04-S3-003,S04-S3-003-OUT,cooking oil,,Section 4,0,0,"Section 4, Shelf 3",,
S06-S1-003,S06-S1-003-OUT,cornstarch,,Section 6,0,0,"Section 6, Shelf 1",,
S10-S1-001,S10-S1-001-OUT,crackers,,Section 10,0,0,"Section 10, Shelf 1",,
S04-S2-002,S04-S2-002-OUT,cranberry sauce,,Section 4,0,0,"Section 4, Shelf 2",,
S01-S3-001,S01-S3-001-OUT,cream corn,,Section 1,0,0,"Section 1, Shelf 3",,
S06-S2-002,S06-S2-002-OUT,crunchy peanut butter,,Section 6,0,0,"Section 6, Shelf 2",,
S02-S2-001,S02-S2-001-OUT,cut green beans,,Section 2,0,0,"Section 2, Shelf 2",,
S07-S1-002,S07-S1-002-OUT,hamburger helper,,Section 7,0,0,"Section 7, Shelf 1",,
S06-S2-004,S06-S2-004-OUT,jelly,,Section 6,0,0,"Section 6, Shelf 2",,
S08-S2-002,S08-S2-002-OUT,mash potatoes,,Section 8,0,0,"Section 8, Shelf 2",,
S04-S1-003,S04-S1-003-OUT,meals in can,,Section 4,0,0,"Section 4, Shelf 1",,
S10-S3-001,S10-S3-001-OUT,misc. FOOD,,Section 10,0,0,"Section 10, Shelf 3",,
S03-S1-002,S03-S1-002-OUT,mixed vegetables,,Section 3,0,0,"Section 3, Shelf 1",,
S09-S2-001,S09-S2-001-OUT,northern beans (dry),,Section 9,0,0,"Section 9, Shelf 2",,
S10-S2-001,S10-S2-001-OUT,pasta,,Section 10,0,0,"Section 10, Shelf 2",,
S06-S2-001,S06-S2-001-OUT,peanut butter,,Section 6,0,0,"Section 6, Shelf 2",,
S06-S2-003,S06-S2-003-OUT,peanut butter / jelly mix,,Section 6,0,0,"Section 6, Shelf 2",,
S02-S3-001,S02-S3-001-OUT,peas,,Section 2,0,0,"Section 2, Shelf 3",,
S05-S2-002,S05-S2-002-OUT,pepper,,Section 5,0,0,"Section 5, Shelf 2",,
S09-S2-004,S09-S2-004-OUT,pinto beans (dry),,Section 9,0,0,"Section 9, Shelf 2",,
S05-S2-001,S05-S2-001-OUT,salt,,Section 5,0,0,"Section 5, Shelf 2",,
S05-S2-003,S05-S2-003-OUT,seasonings,,Section 5,0,0,"Section 5, Shelf 2",,
S11-S2-001,S11-S2-001-OUT,snack,,Section 11,0,0,"Section 11, Shelf 2",,
S11-S3-001,S11-S3-001-OUT,snack bars / chips,,Section 11,0,0,"Section 11, Shelf 3",,
S04-S2-001,S04-S2-001-OUT,soup,,Section 4,0,0,"Section 4, Shelf 2",,
S04-S3-002,S04-S3-002-OUT,spaghetti sauce,,Section 4,0,0,"Section 4, Shelf 3",,
S09-S2-003,S09-S2-003-OUT,split pea (dry),,Section 9,0,0,"Section 9, Shelf 2",,
S08-S1-002,S08-S1-002-OUT,stuffing,,Section 8,0,0,"Section 8, Shelf 1",,
S05-S3-001,S05-S3-001-OUT,sugar substitute,,Section 5,0,0,"Section 5, Shelf 3",,
S01-S1-001,S01-S1-001-OUT,sweet corn,,Section 1,0,0,"Section 1, Shelf 1",,
S04-S1-001,S04-S1-001-OUT,tomatoes,,Section 4,0,0,"Section 4, Shelf 1",,
S13-S1-003,S13-S1-003-OUT,waffle / pancake mix,,Section 13,0,0,"Section 13, Shelf 1",,
S01-S2-001,S01-S2-001-OUT,whole corn,,Section 1,0,0,"Section 1, Shelf 2",,
S03-S3-004,S03-S3-004-OUT,yams,,Section 3,0,0,"Section 3, Shelf 3",,
